id,course_id,teacher_id,class_id,department,classroom_id,school_year,semester,week,jieci,biweekly,starting_and_ending_weeks,num_of_class
(2020-2021-1)-1901140021-0002111-1,1901140021,0002111,2019010107,,0208501,2020-2021,1,星期一,"第1,2节",,9—16,95
(2020-2021-1)-1901140021-0002111-2,1901140021,0002111,2019010108,,0208501,2020-2021,1,星期一,"第1,2节",,9—16,95
(2020-2021-1)-1901140021-0002111-3,1901140021,0002111,2019010111,,0208501,2020-2021,1,星期一,"第1,2节",,9—16,95
(2020-2021-1)-1901140021-0002170-1,1901140021,0002170,2019010104,,0202103,2020-2021,1,星期一,"第1,2节",,9—16,132
(2020-2021-1)-1901140021-0002170-2,1901140021,0002170,2019010105,,0202103,2020-2021,1,星期一,"第1,2节",,9—16,132
(2020-2021-1)-1901140021-0002170-3,1901140021,0002170,2019010106,,0202103,2020-2021,1,星期一,"第1,2节",,9—16,132
(2020-2021-1)-0900140062-0001830-1,0900140062,0001830,2020010170,,0212216,2020-2021,1,星期一,"第1,2节",双,3—13,42
(2020-2021-1)-0701140011-0002154-1,0701140011,0002154,2020010162,,0203301,2020-2021,1,星期一,"第1,2节",,3—14,46
(2020-2021-1)-0701140011-0000714-1,0701140011,0000714,2020010143,,0203302,2020-2021,1,星期一,"第1,2节",,3—14,41
(2020-2021-1)-0701140011-0000182-1,0701140011,0000182,2020010146,,0203204,2020-2021,1,星期一,"第1,2节",,3—14,50
(2020-2021-1)-0701140011-0000435-1,0701140011,0000435,2020010111,,0201418,2020-2021,1,星期一,"第1,2节",,3—14,39
(2020-2021-1)-0701140011-0000334-1,0701140011,0000334,2020010169,,0203408,2020-2021,1,星期一,"第1,2节",,4—15,41
(2020-2021-1)-0701140011-0000202-1,0701140011,0000202,2020010168,,0203410,2020-2021,1,星期一,"第1,2节",,4—15,40
(2020-2021-1)-0701140011-0000204-1,0701140011,0000204,2020010199,,0203412,2020-2021,1,星期一,"第1,2节",,4—15,45
(2020-2021-1)-0701140011-0000490-1,0701140011,0000490,2020010196,,0203411,2020-2021,1,星期一,"第1,2节",,4—15,45
(2020-2021-1)-1702149041-0000519-1,1702149041,0000519,2019010127,,0209527B,2020-2021,1,星期一,"第1,2节",,1—16,38
(2020-2021-1)-1702140022-0001907-1,1702140022,0002379,2019010194,,0202201,2020-2021,1,星期一,"第1,2节",,1—10,77
(2020-2021-1)-1700140921-0001053-1,1700140921,0001053,2019010182,,0201218,2020-2021,1,星期一,"第1,2节",,1—16,57
(2020-2021-1)-1700140921-0000636-1,1700140921,0000636,2019010125,,0202311,2020-2021,1,星期一,"第1,2节",,1—16,36
(2020-2021-1)-0201140011-0000373-1,0201140011,0000373,2020010112,,0201503,2020-2021,1,星期一,"第1,2节",,3—16,63
(2020-2021-1)-0201140011-0000373-2,0201140011,0000373,2020010137,,0201503,2020-2021,1,星期一,"第1,2节",,3—16,63
(2020-2021-1)-0201140011-0000376-1,0201140011,0000376,2020010200,,0202508,2020-2021,1,星期一,"第1,2节",,3—16,50
(2020-2021-1)-0201140011-0001008-1,0201140011,0001008,2020010131,,0202503,2020-2021,1,星期一,"第1,2节",,3—16,40
(2020-2021-1)-0201140011-0000387-1,0201140011,0002177,2020010156,,0203209,2020-2021,1,星期一,"第1,2节",,3—16,39
(2020-2021-1)-0201140011-0001009-1,0201140011,0001009,2020010114,,0203211,2020-2021,1,星期一,"第1,2节",,3—16,40
(2020-2021-1)-0201140011-0000077-1,0201140011,0000077,2020010129,,0209307,2020-2021,1,星期一,"第1,2节",,3—16,50
(2020-2021-1)-0201140011-0001158-1,0201140011,0001158,2020010193,,0202505,2020-2021,1,星期一,"第1,2节",,3—16,40
(2020-2021-1)-0201140011-0000795-1,0201140011,0000795,2020010154,,0202403,2020-2021,1,星期一,"第1,2节",,3—16,40
(2020-2021-1)-0201140011-0000732-1,0201140011,0000732,2020010160,,0201514,2020-2021,1,星期一,"第1,2节",,3—16,54
(2020-2021-1)-0201140011-0000732-2,0201140011,0000732,2020010209,,0201514,2020-2021,1,星期一,"第1,2节",,3—16,54
(2020-2021-1)-0201140011-0001298-1,0201140011,0001298,2020010130,,0203201,2020-2021,1,星期一,"第1,2节",,3—16,50
(2020-2021-1)-0201140011-0001010-1,0201140011,0001010,2020010151,,0201412,2020-2021,1,星期一,"第1,2节",,3—16,45
(2020-2021-1)-0201140011-0002222-1,0201140011,0002222,2020010145,,0202312,2020-2021,1,星期一,"第1,2节",,3—16,51
(2020-2021-1)-0201140011-0002346-1,0201140011,0002045,2020010184,,0203208,2020-2021,1,星期一,"第1,2节",,3—16,40
(2020-2021-1)-0201140011-0000370-1,0201140011,0000370,2020010118,,0203202,2020-2021,1,星期一,"第1,2节",,3—16,42
(2020-2021-1)-0201140011-0000377-1,0201140011,0000377,2020010120,,0202515,2020-2021,1,星期一,"第1,2节",,3—16,41
(2020-2021-1)-0201140011-0000929-1,0201140011,0000929,2020010157,,0203205,2020-2021,1,星期一,"第1,2节",,3—16,39
(2020-2021-1)-0201140011-0002171-1,0201140011,0002171,2020010148,,0208515,2020-2021,1,星期一,"第1,2节",,3—16,50
(2020-2021-1)-0201140011-0001979-1,0201140011,0001979,2020010155,,0202506,2020-2021,1,星期一,"第1,2节",,3—16,40
(2020-2021-1)-0201140011-0000530-1,0201140011,0000530,2020010106,,0201404,2020-2021,1,星期一,"第1,2节",,3—16,33
(2020-2021-1)-0201140031-0000097-1,0201140031,0000097,2019010168,,0202511,2020-2021,1,星期一,"第1,2节",双,1—16,45
(2020-2021-1)-0201140031-0001069-1,0201140031,0001069,2019010177,,0208402,2020-2021,1,星期一,"第1,2节",,1—16,44
(2020-2021-1)-0201140031-0000659-1,0201140031,0000659,2019010149,,0209525A,2020-2021,1,星期一,"第1,2节",,1—16,41
(2020-2021-1)-0201140031-0000382-1,0201140031,0000382,2019010148,,0209527A,2020-2021,1,星期一,"第1,2节",,1—16,44
(2020-2021-1)-0201140031-0000380-1,0201140031,0000380,2019010206,,0202408,2020-2021,1,星期一,"第1,2节",,1—16,43
(2020-2021-1)-1703142131-0000469-1,1703142131,0000469,2018010216,,0209423,2020-2021,1,星期一,"第1,2节",双,1—16,35
(2020-2021-1)-0802140011-0000222-1,0802140011,0000222,2020010183,,0209523,2020-2021,1,星期一,"第1,2节",,3—13,45
(2020-2021-1)-0303246531-0001196-1,0303246531,0001196,2018010165,,0209523,2020-2021,1,星期一,"第1,2节",,6—11,6
(2020-2021-1)-0303246471-0000141-1,0303246471,0000141,2018010165,,0209523,2020-2021,1,星期一,"第1,2节",,1—4,6
(2020-2021-1)-0303245742-0001932-1,0303245742,0001932,2018010165,,0209523,2020-2021,1,星期一,"第1,2节",,12—15,6
(2020-2021-1)-0303241181-0002374-1,0303241181,0002374,2018010111,,0211507,2020-2021,1,星期一,"第1,2节",,1—4,30
(2020-2021-1)-0303241181-0001150-1,0303241181,0001150,2018010110,,0211502,2020-2021,1,星期一,"第1,2节",,5—8,31
(2020-2021-1)-1505405002-0002374-1,1505405002,0002374,2017010105,,0204307,2020-2021,1,星期一,"第1,2节",,11—14,35
(2020-2021-1)-1505405002-0001199-1,1505405002,0001199,2017010104,,0210510,2020-2021,1,星期一,"第1,2节",,6—9,33
(2020-2021-1)-1104240022-0001190-1,1104240022,0001190,2020010180,,0200001,2020-2021,1,星期一,"第1,2节",,3—10,29
(2020-2021-1)-0900140052-0001829-1,0900140052,0001829,2020010170,,0212216,2020-2021,1,星期一,"第1,2节",单,3—13,42
(2020-2021-1)-1505405001-0001199-1,1505405001,0001199,2017010105,,0211506,2020-2021,1,星期一,"第1,2节",,1—4,35
(2020-2021-1)-1505405001-0001150-1,1505405001,0001150,2017010104,,0211502,2020-2021,1,星期一,"第1,2节",,1—4,33
(2020-2021-1)-1406145202-0002112-1,1406145202,0002112,2018010155,,0209313,2020-2021,1,星期一,"第1,2节",,1—16,39
(2020-2021-1)-1406145202-0002112-2,1406145202,0002112,2018010156,,0209313,2020-2021,1,星期一,"第1,2节",,1—16,39
(2020-2021-1)-1506141942-0001193-1,1506141942,0001193,2018010191,,0202309,2020-2021,1,星期一,"第1,2节",,1—8,33
(2020-2021-1)-0303244131-0001324-1,0303244131,0001324,2018010114,,0211506,2020-2021,1,星期一,"第1,2节",,6—9,29
(2020-2021-1)-0303244121-0001409-1,0303244121,0001409,2018010114,,0208411,2020-2021,1,星期一,"第1,2节",,1—4,29
(2020-2021-1)-1505306009-0000897-1,1505306009,0000897,2017010106,,0201203,2020-2021,1,星期一,"第1,2节",,6—7,36
(2020-2021-1)-1203140831-0001073-1,1203140831,0001073,2018010197,,0201304,2020-2021,1,星期一,"第1,2节",,1—12,47
(2020-2021-1)-0503140031-0000914-1,0503140031,0000914,2018010211,,0209423,2020-2021,1,星期一,"第1,2节",单,3—13,33
(2020-2021-1)-1202140021-0000873-1,1202140021,0000873,2020010177,,0201301,2020-2021,1,星期一,"第1,2节",,3—16,50
(2020-2021-1)-1203140011-0002362-1,1203140011,0002362,2020010187,,0202202,2020-2021,1,星期一,"第1,2节",,3—17,107
(2020-2021-1)-1203140011-0002362-2,1203140011,0002362,2020010188,,0202202,2020-2021,1,星期一,"第1,2节",,3—17,107
(2020-2021-1)-1203140031-0000179-1,1203140031,0000179,2020010132,,0209425,2020-2021,1,星期一,"第1,2节",双,3—16,79
(2020-2021-1)-1203140031-0000179-2,1203140031,0000179,2020010133,,0209425,2020-2021,1,星期一,"第1,2节",双,3—16,79
(2020-2021-1)-1203140031-0001014-1,1203140031,0001014,2020010135,,0201403,2020-2021,1,星期一,"第1,2节",,3—16,80
(2020-2021-1)-1203140031-0001014-2,1203140031,0001014,2020010136,,0201403,2020-2021,1,星期一,"第1,2节",,3—16,80
(2020-2021-1)-0202140691-0000082-1,0202140691,0000082,2018010230,,0202307,2020-2021,1,星期一,"第1,2节",,1—16,34
(2020-2021-1)-0502140061-0000347-1,0502140061,0000347,2019010196,,0203212,2020-2021,1,星期一,"第1,2节",,1—10,25
(2020-2021-1)-1202140131-0000188-1,1202140131,0000188,2019010126,,0201313,2020-2021,1,星期一,"第1,2节",单,1—16,42
(2020-2021-1)-0802143011-0002220-1,0802143011,0002220,2019010189,,0201203,2020-2021,1,星期一,"第1,2节",,1—4,45
(2020-2021-1)-1511104021-0000763-1,1511104021,0000763,2017010130,,0202101,2020-2021,1,星期一,"第1,2节",,1—2,38
(2020-2021-1)-1511104021-0000763-2,1511104021,0000763,2017010131,,0202101,2020-2021,1,星期一,"第1,2节",,1—2,38
(2020-2021-1)-1511104021-0000763-3,1511104021,0000763,2017010132,,0202101,2020-2021,1,星期一,"第1,2节",,1—2,38
(2020-2021-1)-0306243161-0001198-1,0306243161,0001198,2018010139,,0204308,2020-2021,1,星期一,"第1,2节",,12—15,25
(2020-2021-1)-0306243161-0001035-1,0306243161,0001035,2018010137,,0202209,2020-2021,1,星期一,"第1,2节",,12—15,28
(2020-2021-1)-0306243161-0000616-1,0306243161,0000616,2018010140,,0204309,2020-2021,1,星期一,"第1,2节",,12—15,22
(2020-2021-1)-0306243161-0001351-1,0306243161,0001351,2018010138,,0201306,2020-2021,1,星期一,"第1,2节",,12—15,26
(2020-2021-1)-1505006211-0001255-1,1505006211,0001255,2017010122,,0210503,2020-2021,1,星期一,"第1,2节",,12—14,27
(2020-2021-1)-1505006211-0002372-1,1505006211,0002372,2017010120,,0210501,2020-2021,1,星期一,"第1,2节",,12—14,28
(2020-2021-1)-1505006211-0001061-1,1505006211,0001061,2017010123,,0210504,2020-2021,1,星期一,"第1,2节",,12—14,29
(2020-2021-1)-1505006211-0000942-1,1505006211,0000942,2017010121,,0210502,2020-2021,1,星期一,"第1,2节",,12—14,26
(2020-2021-1)-1403141041-0000479-1,1403141041,0000479,2018010143,,0202301,2020-2021,1,星期一,"第1,2节",,1—16,94
(2020-2021-1)-1403141041-0000479-2,1403141041,0000479,2018010144,,0202301,2020-2021,1,星期一,"第1,2节",,1—16,94
(2020-2021-1)-1603141111-0002366-1,1603141111,0002366,2019010115,,0209521,2020-2021,1,星期一,"第1,2节",,1—16,43
(2020-2021-1)-0203140552-0000320-1,0203140552,0000320,2018010234,,0203108,2020-2021,1,星期一,"第1,2节",,1—16,54
(2020-2021-1)-0203140552-0000320-2,0203140552,0000320,2018010235,,0203108,2020-2021,1,星期一,"第1,2节",,1—16,54
(2020-2021-1)-0806147212-0001322-1,0806147212,0001322,2018010104,,0202206,2020-2021,1,星期一,"第1,2节",,3—8,74
(2020-2021-1)-0806147212-0001322-2,0806147212,0001322,2018010106,,0202206,2020-2021,1,星期一,"第1,2节",,3—8,74
(2020-2021-1)-1303144081-0000313-1,1303144081,0000313,2018010112,,0204502,2020-2021,1,星期一,"第1,2节",,1—14,67
(2020-2021-1)-0303245311-0001060-1,0303245311,0001060,2019010156,,0212407,2020-2021,1,星期一,"第1,2节",,10—15,10
(2020-2021-1)-0303245331-0001060-1,0303245331,0001060,2018010166,,0212407,2020-2021,1,星期一,"第1,2节",,10—15,9
(2020-2021-1)-0303245251-0001933-1,0303245251,0001933,2019010156,,0212407,2020-2021,1,星期一,"第1,2节",,1—4,10
(2020-2021-1)-0303245271-0001933-1,0303245271,0001933,2018010166,,0212407,2020-2021,1,星期一,"第1,2节",,1—4,9
(2020-2021-1)-0303245142-0001146-1,0303245142,0001146,2018010166,,0212407,2020-2021,1,星期一,"第1,2节",,6—9,9
(2020-2021-1)-0303245142-0001146-2,0303245142,0001146,2019010156,,0212407,2020-2021,1,星期一,"第1,2节",,6—9,10
(2020-2021-1)-0603141241-0001201-1,0603141241,0001201,2018010132,,0201511,2020-2021,1,星期一,"第1,2节",,9—16,37
(2020-2021-1)-0606141131-0002014-1,0606141131,0002014,2018010133,,0201406,2020-2021,1,星期一,"第1,2节",,1—16,35
(2020-2021-1)-0603145051-0002175-1,0603145051,0001927,2018010134,,0201410,2020-2021,1,星期一,"第1,2节",双,1—16,31
(2020-2021-1)-0603145051-0002175-2,0603145051,0002175,2018010134,,0201410,2020-2021,1,星期一,"第1,2节",双,1—16,31
(2020-2021-1)-1104006502-0001191-1,1104006502,0001191,2017010124,,0201501,2020-2021,1,星期一,"第1,2节",,1—8,88
(2020-2021-1)-1104006502-0001191-2,1104006502,0001191,2017010127,,0201501,2020-2021,1,星期一,"第1,2节",,1—8,88
(2020-2021-1)-0202140531-0000076-1,0202140531,0000076,2020010204,,0201318,2020-2021,1,星期一,"第1,2节",,3—18,30
(2020-2021-1)-0202140531-0000649-1,0202140531,0000649,2020010207,,0201504,2020-2021,1,星期一,"第1,2节",,3—18,31
(2020-2021-1)-0202140531-0000932-1,0202140531,0000932,2020010205,,0209421,2020-2021,1,星期一,"第1,2节",,3—18,31
(2020-2021-1)-0202140531-0000081-1,0202140531,0000081,2020010202,,0201311,2020-2021,1,星期一,"第1,2节",,3—18,30
(2020-2021-1)-0202140551-0000853-1,0202140551,0000853,2019010215,,0209529A,2020-2021,1,星期一,"第1,2节",,1—16,39
(2020-2021-1)-1003140151-0000228-1,1003140151,0000228,2018010146,,0203304,2020-2021,1,星期一,"第1,2节",单,1—7,40
(2020-2021-1)-1003143081-0000475-1,1003143081,0000475,2018010148,,0201407,2020-2021,1,星期一,"第1,2节",,1—10,44
(2020-2021-1)-0702140011-0000174-1,0702140011,0002041,2020010147,,0204505,2020-2021,1,星期一,"第1,2节",,3—10,56
(2020-2021-1)-0702140011-0000174-2,0702140011,0000174,2020010147,,0204505,2020-2021,1,星期一,"第1,2节",,3—10,56
(2020-2021-1)-0703140131-0000325-1,0703140131,0000325,2018010217,,0209525B,2020-2021,1,星期一,"第1,2节",双,1—16,48
(2020-2021-1)-0703140131-0000192-1,0703140131,0000192,2018010227,,0209522,2020-2021,1,星期一,"第1,2节",,1—12,58
(2020-2021-1)-0306243141-0001255-1,0306243141,0001198,2018010137,,0204307,2020-2021,1,星期一,"第1,2节",,6—9,28
(2020-2021-1)-0306243141-0001231-1,0306243141,0001231,2018010139,,0204309,2020-2021,1,星期一,"第1,2节",,6—9,25
(2020-2021-1)-0306243141-0000145-1,0306243141,0000145,2018010138,,0204308,2020-2021,1,星期一,"第1,2节",,6—9,26
(2020-2021-1)-0306243141-0000140-1,0306243141,0000140,2018010140,,0201212,2020-2021,1,星期一,"第1,2节",,6—9,22
(2020-2021-1)-1106240132-0001154-1,1106240132,0001154,2019010186,,0206202,2020-2021,1,星期一,"第1,2节",,1—16,29
(2020-2021-1)-1512007117-0000859-1,1512007117,0000859,2017010150,,0203210,2020-2021,1,星期一,"第1,2节",,4—10,37
(2020-2021-1)-1512007117-0000859-2,1512007117,0000349,2017010150,,0203210,2020-2021,1,星期一,"第1,2节",,4—10,37
(2020-2021-1)-1112004901-0002012-1,1112004901,0002012,2018010212,,0209314,2020-2021,1,星期一,"第1,2节",双,1—16,41
(2020-2021-1)-1203140121-0000920-1,1203140121,0000920,2019010116,,0208504,2020-2021,1,星期一,"第1,2节",,1—16,89
(2020-2021-1)-1203140121-0000920-2,1203140121,0000920,2019010117,,0208504,2020-2021,1,星期一,"第1,2节",,1—16,89
(2020-2021-1)-0206140231-0000931-1,0206140231,0000931,2018010180,,0203102,2020-2021,1,星期一,"第1,2节",,1—8,31
(2020-2021-1)-0306243181-0001255-1,0306243181,0001255,2018010140,,0204308,2020-2021,1,星期一,"第1,2节",,1—4,22
(2020-2021-1)-0306243181-0001061-1,0306243181,0001061,2018010139,,0204307,2020-2021,1,星期一,"第1,2节",,1—4,25
(2020-2021-1)-0306243181-0001351-1,0306243181,0001351,2018010137,,0210510,2020-2021,1,星期一,"第1,2节",,1—4,28
(2020-2021-1)-0306243181-0000942-1,0306243181,0000942,2018010138,,0202209,2020-2021,1,星期一,"第1,2节",,1—4,26
(2020-2021-1)-1503143691-0000008-1,1503143691,0000008,2018010157,,0201518,2020-2021,1,星期一,"第1,2节",,1—8,49
(2020-2021-1)-1517405016-0000946-1,1517405016,0000946,2017010136,,0201408,2020-2021,1,星期一,"第1,2节",,1—10,34
(2020-2021-1)-1505006209-0001198-1,1505006209,0001198,2017010121,,0210501,2020-2021,1,星期一,"第1,2节",,1—4,26
(2020-2021-1)-1505006209-0001231-1,1505006209,0001231,2017010123,,0210504,2020-2021,1,星期一,"第1,2节",,1—4,29
(2020-2021-1)-1505006209-0000149-1,1505006209,0000149,2017010120,,0210502,2020-2021,1,星期一,"第1,2节",,1—4,28
(2020-2021-1)-1505006209-0000616-1,1505006209,0000616,2017010122,,0210503,2020-2021,1,星期一,"第1,2节",,1—4,27
(2020-2021-1)-1506147472-0000733-1,1506147472,0000733,2018010160,,0201413,2020-2021,1,星期一,"第1,2节",,1—8,24
(2020-2021-1)-1003143061-0002180-1,1003143061,0002180,2018010147,,0203109,2020-2021,1,星期一,"第1,2节",,1—8,43
(2020-2021-1)-1517106426-0001459-1,1517106426,0001459,2017010108,,0202303,2020-2021,1,星期一,"第1,2节",,1—8,98
(2020-2021-1)-1517106426-0001459-2,1517106426,0001459,2017010109,,0202303,2020-2021,1,星期一,"第1,2节",,1—8,98
(2020-2021-1)-1505405004-0000996-1,1505405004,0002204,2017010105,,0211502,2020-2021,1,星期一,"第1,2节",,16—17,35
(2020-2021-1)-1505405004-0000996-2,1505405004,0000996,2017010105,,0211502,2020-2021,1,星期一,"第1,2节",,16—17,35
(2020-2021-1)-1505405004-0001197-1,1505405004,0001197,2017010104,,0211506,2020-2021,1,星期一,"第1,2节",,16—17,33
(2020-2021-1)-1503141861-0000131-1,1503141861,0000131,2018010192,,0203101,2020-2021,1,星期一,"第1,2节",,1—16,38
(2020-2021-1)-1502143631-0000014-1,1502143631,0000014,2020010152,,0203203,2020-2021,1,星期一,"第1,2节",,3—18,51
(2020-2021-1)-0401140031-0002140-1,0401140031,0002140,2019010135,,0208503,2020-2021,1,星期一,"第1,2节",,1—14,97
(2020-2021-1)-0401140031-0002140-2,0401140031,0002140,2019010136,,0208503,2020-2021,1,星期一,"第1,2节",,1—14,97
(2020-2021-1)-0401140031-0000314-1,0401140031,0000314,2019010131,,0208406,2020-2021,1,星期一,"第1,2节",,1—14,108
(2020-2021-1)-0401140031-0000314-2,0401140031,0000314,2019010132,,0208406,2020-2021,1,星期一,"第1,2节",,1—14,108
(2020-2021-1)-0401140031-0000314-3,0401140031,0000314,2019010133,,0208406,2020-2021,1,星期一,"第1,2节",,1—14,108
(2020-2021-1)-0401140031-0000314-4,0401140031,0000314,2019010134,,0208406,2020-2021,1,星期一,"第1,2节",,1—14,108
(2020-2021-1)-0401140031-0000306-1,0401140031,0000306,2019010154,,0208416,2020-2021,1,星期一,"第1,2节",,1—14,81
(2020-2021-1)-0401140031-0000306-2,0401140031,0000306,2019010155,,0208416,2020-2021,1,星期一,"第1,2节",,1—14,81
(2020-2021-1)-0303241171-0000825-1,0303241171,0000825,2018010110,,0201303,2020-2021,1,星期一,"第1,2节",,1—4,31
(2020-2021-1)-0303241171-0000825-2,0303241171,0000825,2018010111,,0201303,2020-2021,1,星期一,"第1,2节",,9—12,30
(2020-2021-1)-0401140041-0000891-1,0401140041,0000891,2019010170,,0202204,2020-2021,1,星期一,"第1,2节",,1—16,131
